date,source,headline,ticker,drug,indication,url,confidence,decision_type
2025-08-07,company_rss,Lilly reports second-quarter 2025 financial results and raises guidance,LLY,,,https://investor.lilly.com/news-releases/news-release-details/lilly-reports-second-quarter-2025-financial-results-and-raises,0.6,other
2025-08-07,company_rss,"Lilly's oral GLP-1, orforglipron, delivers weight loss of up to an average of 27.3 lbs in first of two pivotal Phase 3 trials in adults with obesity",LLY,,,https://investor.lilly.com/news-releases/news-release-details/lillys-oral-glp-1-orforglipron-delivers-weight-loss-average-273,0.6,other
2025-08-09,company_rss,"Lilly launches ""The Court Is Hers™"" to help more girls get in the game",LLY,,,https://investor.lilly.com/news-releases/news-release-details/lilly-launches-court-herstm-help-more-girls-get-game,0.6,other
2025-08-14,company_rss,Statement: America’s leading role in biopharmaceutical innovation,LLY,,,https://investor.lilly.com/news-releases/news-release-details/statement-americas-leading-role-biopharmaceutical-innovation,0.6,other
2025-08-20,company_rss,"Anne White to Retire as Executive Vice President and President, Lilly Neuroscience",LLY,,,https://investor.lilly.com/news-releases/news-release-details/anne-white-retire-executive-vice-president-and-president-lilly,0.6,other
2025-08-22,company_rss,Lilly to participate in Wells Fargo 20th Annual Healthcare Conference,LLY,,,https://investor.lilly.com/news-releases/news-release-details/lilly-participate-wells-fargo-20th-annual-healthcare-conference,0.6,other
2025-08-25,company_rss,Lilly to participate in Morgan Stanley 23rd Annual Global Healthcare Conference,LLY,,,https://investor.lilly.com/news-releases/news-release-details/lilly-participate-morgan-stanley-23rd-annual-global-healthcare,0.6,other
2025-08-26,company_rss,"Lilly's oral GLP-1, orforglipron, is successful in third Phase 3 trial, triggering global regulatory submissions this year for the treatment of obesity",LLY,,,https://investor.lilly.com/news-releases/news-release-details/lillys-oral-glp-1-orforglipron-successful-third-phase-3-trial,0.6,other
2025-08-27,company_rss,"Lilly's Verzenio® (abemaciclib) increases overall survival in HR+, HER2-, high-risk early breast cancer with two years of therapy",LLY,,,https://investor.lilly.com/news-releases/news-release-details/lillys-verzenior-abemaciclib-increases-overall-survival-hr-her2,0.6,other
2025-09-04,company_rss,Lilly's olomorasib receives U.S. FDA's Breakthrough Therapy designation for the treatment of certain newly diagnosed metastatic KRAS G12C-mutant lung cancers,LLY,,,https://investor.lilly.com/news-releases/news-release-details/lillys-olomorasib-receives-us-fdas-breakthrough-therapy,0.6,pdufa
